Date,Soil_Moisture,Irrigation_mm,Rain_mm,ET_o,ETmax,Kc,rho
2017-04-10,0.3868020408835952,39.77799028158188,0.0,17.227956128943752,6.8865262472183275,0.39972972972972975,0.030743420746510385
2017-04-11,0.5336389338941467,0.0,0.0,17.624635517451253,7.049854206980502,0.4,0.03147256342402009
2017-04-12,0.5021663704701267,0.0,0.0,17.608179988241258,7.043271995296504,0.4,0.031443178550430814
2017-04-13,0.47072319191969586,0.0,0.0,17.12208247027874,6.848832988111496,0.4,0.03057514726835489
2017-04-14,0.44014804465134094,0.0,0.0,16.923756840613304,6.769502736245322,0.4,0.03022099435823804
2017-04-15,0.4099270502931029,0.0,0.0,16.72788717529052,6.691154870116208,0.4,0.029871227098733067
2017-04-16,0.3800558231943698,0.0,0.0,16.831259595108964,6.732503838043586,0.4,0.030055820705551718
2017-04-17,0.3500000024888181,45.44357568025589,0.0,16.586416028244432,6.634566411297773,0.4,0.029618600050436483
2017-04-18,0.5232545081538096,0.0,0.0,16.555047787974736,6.622019115189895,0.4,0.02956258533566917
2017-04-19,0.4936919228181404,0.0,0.0,16.451876324428977,6.580750529771591,0.4,0.029378350579337457
2017-04-20,0.46431357223880293,0.0,0.0,16.11267426736937,6.4450697069477485,0.4,0.028772632620302444
2017-04-21,0.4355409396185005,0.0,0.0,15.907864511963753,6.363145804785502,0.4,0.028406900914220986
2017-04-22,0.4071340387042795,0.0,0.0,15.84877597234995,6.33951038893998,0.4,0.028301385664910625
2017-04-23,0.37883265303936886,0.0,0.0,16.146285598315472,6.458514239326189,0.4,0.02883265285413477
2017-04-24,0.3500000001852341,47.324811816215515,0.0,16.374675101908238,6.549870040763295,0.4,0.029240491253407566
2017-04-25,0.5320309902542172,0.0,0.0,16.679510226402147,6.671804090560859,0.4,0.029784839690003832
2017-04-26,0.5022461505642134,0.0,0.0,16.901966196587434,6.760786478634974,0.4,0.03018208249390613
2017-04-27,0.47206406807030726,0.0,0.0,17.034217874413997,6.813687149765599,0.4,0.030418246204310707
2017-04-28,0.44164582186599655,0.0,0.0,16.84437828457066,6.737751313828264,0.4,0.030079246936733316
2017-04-29,0.41156657492926324,0.0,0.0,17.129860951510757,6.851944380604303,0.4,0.030589037413412064
2017-04-30,0.3809775375158512,0.0,0.0,17.34741998550407,6.938967994201629,0.4,0.030977535688400126
2017-05-01,0.35000000182745106,51.84907615184784,0.0,17.459459469502402,6.983783787800961,0.4,0.03117760619554
2017-05-02,0.5502914855955174,0.0,0.0,17.465498116230663,7.143388729538342,0.40900000000000003,0.03189012825686759
2017-05-03,0.5184013573386499,0.0,0.0,16.812282058381744,7.0275339004035695,0.41800000000000004,0.031372919198230216
2017-05-04,0.4870284381404197,0.0,0.0,17.483892294238455,7.465622009639821,0.42700000000000005,0.03332866968589206
2017-05-05,0.45369976845452764,0.0,0.0,17.60550223203834,7.675998973168716,0.436,0.034267852558788905
2017-05-06,0.41943191589573875,0.0,0.0,17.06435899557328,7.593639753030109,0.445,0.033900177468884414
2017-05-07,0.38553173842685434,0.0,0.0,17.53107681463191,7.959108873842887,0.454,0.035531736043941456
2017-05-08,0.3500000023829129,57.74001628160477,0.43991,17.46896131492492,8.088129088810238,0.463,0.036107719146474274
2017-05-09,0.5736240969936027,0.0,0.0,17.854841774371533,8.427485317503365,0.47200000000000003,0.03762270231028288
2017-05-10,0.5360013946833199,0.0,0.0,17.831999402117102,8.577191712418326,0.48100000000000004,0.03829103443043895
2017-05-11,0.4977103602528809,0.0,0.0,17.549505677211037,8.599257781833408,0.49,0.03838954366889914
2017-05-12,0.4593208165839818,0.0,0.0,17.212208384636195,8.588891983933461,0.499,0.03834326778541723
2017-05-13,0.4209775487985645,0.0,0.0,17.35653995529388,8.817122297289291,0.508,0.03936215311289862
2017-05-14,0.38161539568566594,0.0,7.7012,17.11207378998742,8.846942149423496,0.517,0.03949527745278346
2017-05-15,0.3765004753757396,59.1562083363533,0.33277,16.569225791871318,8.715412766524313,0.526,0.03890809270769782
2017-05-16,0.6031681788124761,0.0,0.0,16.36094672464155,8.75310649768323,0.535,0.039076368293228705
2017-05-17,0.5640918105192474,0.0,0.0,16.449833561169942,8.948709457276449,0.544,0.03994959579141271
2017-05-18,0.5241422147278347,0.0,0.0,16.719814025269837,9.24605715597422,0.553,0.04127704087488491
2017-05-19,0.4828651738529498,0.0,0.0,16.856062556534916,9.473107156772624,0.562,0.04229065694987778
2017-05-20,0.44057451690307203,0.0,0.0,17.078721656654587,9.751950065949767,0.571,0.04353549136584717
2017-05-21,0.39703902553722487,0.0,0.0,17.593054501051803,10.203971610610047,0.5800000000000001,0.04555344469022342
2017-05-22,0.35148558084700143,60.0,0.0,17.719403008103264,10.436728371772821,0.589,0.046592537373985804
2017-05-23,0.5727501863301585,0.0,0.0,17.41477963161291,10.41403821970452,0.598,0.04649124205225231
2017-05-24,0.5262589442779062,0.0,0.0,17.376570819221907,10.547578487267698,0.607,0.0470874039610165
2017-05-25,0.4791715403168897,0.0,0.0,17.360792106966716,10.694247937891497,0.616,0.047742178294158465
2017-05-26,0.43142936202273124,0.0,0.0,16.926225835924726,10.578891147452953,0.625,0.04722719262255782
2017-05-27,0.38420216940017343,0.0,0.0,16.407680792477585,10.40246962243079,0.634,0.046439596528708875
2017-05-28,0.33776257287146455,0.0,0.0,16.21277953065127,10.424817238208767,0.643,0.03685748766265094
2017-05-29,0.3009050852088136,60.0,0.0,16.119539902196124,10.509940016231871,0.6519999999999999,0.007759828811412256
